数值,数量
0.014175554,1
0.014178054,1
0.014182503,1
0.014183193,1
0.014187373,1
0.014188699,1
0.014191784,1
0.014192272,1
0.014196427,1
0.014203874,1
0.014207547,1
0.01422049,1
0.014241771,1
0.014241879,1
0.014248698,1
0.014250343,1
0.014254231,1
0.014258458,1
0.014259382,1
0.0142596,1
0.014260784,1
0.014261409,1
0.014267708,1
0.014270143,1
0.01427134,1
0.014280475,1
0.014283308,1
0.014284739,1
0.014287422,1
0.01428884,1
0.0142953,1
0.014299418,1
0.014299704,1
0.014301013,1
0.014301393,1
0.0143051995,1
0.014308501,1
0.014319682,1
0.014325951,1
0.014338649,1
0.014339221,1
0.014350562,1
0.014354135,1
0.014365076,1
0.014365474,1
0.014370405,1
0.014375148,1
0.014381346,1
0.0143823065,1
0.014386942,1
0.014397839,1
0.014405269,1
0.0144059975,1
0.014406684,1
0.014410367,1
0.014416882,1
0.014425119,1
0.014426674,1
0.01442988,1
0.014429949,1
0.014430843,1
0.014432454,1
0.014437215,1
0.014438153,1
0.014438263,1
0.014449916,1
0.014455842,1
0.014458006,1
0.014465192,1
0.01447775,1
0.014479172,1
0.014479449,1
0.014481506,1
0.014486644,1
0.014488771,1
0.014490347,1
0.01449086,1
0.014492392,1
0.014493457,1
0.0144939665,1
0.014502885,1
0.014504476,1
0.014508529,1
0.01451812,1
0.014518426,1
0.014524102,1
0.014525779,1
0.014526402,1
0.014532609,1
0.014554549,1
0.0145553965,1
0.014561159,1
0.014569353,1
0.014569491,1
0.014574119,1
0.014585435,1
0.014590251,1
0.014591099,1
0.014598936,1
0.014600215,1
0.014601816,1
0.01460555,1
0.014606859,1
0.01460743,1
0.014609156,1
0.014611805,1
0.014618996,1
0.014626387,1
0.014628368,1
0.014628744,1
0.014629637,1
0.014632316,1
0.014632524,1
0.014632706,1
0.014635471,1
0.014635889,1
0.014637227,1
0.014638121,1
0.0146408435,1
0.014644741,1
0.014645619,1
0.0146464165,1
0.014647434,1
0.014647714,1
0.014648595,1
0.014648902,1
0.014650285,1
0.014650468,1
0.0146547705,1
0.014655762,1
0.014658152,1
0.01466436,1
0.014664837,1
0.014669297,1
0.0146722365,1
0.014673859,1
0.014675608,1
0.0146792885,1
0.014679443,1
0.014680184,1
0.014681081,1
0.014681697,1
0.014683517,1
0.01468517,1
0.0146879,1
0.014694331,1
0.014696518,1
0.014698648,1
0.01471068,1
0.014713093,1
0.014713414,1
0.014727875,1
0.014727889,1
0.0147322705,1
0.014732987,1
0.014744808,1
0.014745553,1
0.014750898,1
0.014752867,1
0.014754345,1
0.014755005,1
0.014757665,1
0.0147607615,1
0.0147611275,1
0.014773308,1
0.014777112,1
0.014780679,1
0.014782201,1
0.014786811,1
0.014789788,1
0.014794103,1
0.014795218,1
0.014796586,1
0.014803981,1
0.014808444,1
0.01480867,1
0.014809489,1
0.014815364,1
0.014816792,1
0.014817852,1
0.01482007,1
0.01482024,1
0.0148245925,1
0.014828991,1
0.014829825,1
0.014837308,1
0.014840789,1
0.014843508,1
0.014844966,1
0.014850176,1
0.01485162,1
0.014853518,1
0.0148607725,1
0.014862204,1
0.014862757,1
0.0148651935,1
0.0148661295,1
0.014866654,1
0.014867235,1
0.014872455,1
0.014873831,1
0.01487627,1
0.014877318,1
0.014878851,1
0.014879816,1
0.014882314,1
0.014883592,1
0.014884031,1
0.01488626,1
0.014890591,1
0.0148927765,1
0.014899595,1
0.014904641,1
0.014906034,1
0.014909857,1
0.014913783,1
0.01491933,1
0.01492239,1
0.014923742,1
0.014926147,1
0.014930574,1
0.014932113,1
0.014932155,1
0.014932611,1
0.014933978,1
0.014938107,1
0.014940202,1
0.014944634,1
0.014945902,1
0.014950192,1
0.014952631,1
0.014963528,1
0.014967638,1
0.014971321,1
0.014977192,1
0.014977848,1
0.014978191,1
0.01497862,1
0.014982776,1
0.014985721,1
0.014986135,1
0.01499018,1
0.014996056,1
0.014996585,1
0.014997,1
0.014998102,1
0.015000848,1
0.0150069995,1
0.015007529,1
0.015012525,1
0.015014514,1
0.015014573,1
0.015016018,1
0.015016392,1
0.015028567,1
0.01503453,1
0.01503572,1
0.015036007,1
0.015037585,1
0.015044356,1
0.015045389,1
0.015046379,1
0.015048014,1
0.015049505,1
0.015061552,1
0.015068089,1
0.015068103,1
0.015071609,1
0.015072156,1
0.015072472,1
0.015073853,1
0.015075706,1
0.015078926,1
0.015080797,1
0.01508189,1
0.015085556,1
0.015088578,1
0.015089441,1
0.015090189,1
0.015091082,1
0.015098049,1
0.015100426,1
0.015103938,1
0.015108866,1
0.015109413,1
0.01510973,1
0.015113074,1
0.015116186,1
0.015121232,1
0.015124131,1
0.015127997,1
0.015134447,1
0.0151359765,1
0.015155866,1
0.015156141,1
0.015158814,1
0.015160578,1
0.015161229,1
0.015167866,1
0.015174464,1
0.0151755195,1
0.015187334,1
0.015187391,1
0.015189158,1
0.015189824,1
0.015191577,1
0.015193577,1
0.015198867,1
0.015199895,1
0.015200808,1
0.015204043,1
0.01520874,1
0.015211569,1
0.015212003,1
0.015214615,1
0.015215224,1
0.015216182,1
0.015223439,1
0.015224193,1
0.01522444,1
0.015224585,1
0.015230307,1
0.015233546,1
0.015233953,1
0.015258597,1
0.015259107,1
0.015266835,1
0.0152674755,1
0.015269616,1
0.015271115,1
0.015280148,1
0.0152814,1
0.0152845625,1
0.015285772,1
0.015289156,1
0.015292509,1
0.0152946375,1
0.015297147,1
0.0152998315,1
0.015300298,1
0.015301145,1
0.015306268,1
0.015321176,1
0.015322259,1
0.015327666,1
0.015329581,1
0.015330385,1
0.015332446,1
0.015332695,1
0.0153406365,1
0.015348319,1
0.015353793,1
0.015355155,1
0.015357366,1
0.015367445,1
0.015372399,1
0.015380186,1
0.015386626,1
0.015386773,1
0.015388225,1
0.01540063,1
0.015403289,1
0.015403612,1
0.015403861,1
0.015406696,1
0.015409931,1
0.015412824,1
0.015421485,1
0.015421984,1
0.01542472,1
0.015428397,1
0.015430149,1
0.01543287,1
0.015434017,1
0.015434179,1
0.01543474,1
0.015436932,1
0.015445679,1
0.015452074,1
0.015452514,1
0.015458013,1
0.015459354,1
0.015466049,1
0.01547164,1
0.015473867,1
0.015475669,1
0.015475699,1
0.015476272,1
0.015476982,1
0.015482059,1
0.015483256,1
0.015483403,1
0.015490005,1
0.0154907,1
0.015493624,1
0.015496786,1
0.015501073,1
0.015513199,1
0.015515744,1
0.015532635,1
0.015535256,1
0.015540221,1
0.015540354,1
0.01554406,1
0.015544163,1
0.0155512495,1
0.015552377,1
0.015566399,1
0.015566993,1
0.015573318,1
0.015590836,1
0.015601783,1
0.015602438,1
0.015606143,1
0.015606202,1
0.015606739,1
0.015611219,1
0.01561509,1
0.015627006,1
0.01562936,1
0.015631806,1
0.015637381,1
0.015640918,1
0.01564153,1
0.015642425,1
0.015643198,1
0.015644586,1
0.01564669,1
0.01564854,1
0.015649168,1
0.01565069,1
0.015652122,1
0.015661633,1
0.01566374,1
0.015665054,1
0.015667953,1
0.01567221,1
0.015674064,1
0.01567991,1
0.015680777,1
0.015680987,1
0.01568302,1
0.015687358,1
0.015687745,1
0.015689962,1
0.015691398,1
0.015691606,1
0.015691712,1
0.015693283,1
0.015693583,1
0.015708016,1
0.015709303,1
0.015712136,1
0.015717471,1
0.015720123,1
0.015720513,1
0.015724473,1
0.015725851,1
0.015732212,1
0.01574099,1
0.015742702,1
0.015745524,1
0.0157456,1
0.015746547,1
0.01575108,1
0.015751757,1
0.015769236,1
0.015770093,1
0.015776185,2
0.015776725,1
0.015781257,1
0.015781466,1
0.015781887,1
0.015783709,1
0.015784973,1
0.015786147,1
0.015794173,1
0.015796568,1
0.015796658,1
0.015797291,1
0.015802037,1
0.015802128,1
0.015806906,1
0.01580867,1
0.015809301,1
0.0158125,1
0.015813917,1
0.015816903,1
0.015824037,1
0.015824506,1
0.015826935,1
0.015832203,1
0.015833048,1
0.015837444,1
0.015844438,1
0.015844619,1
0.015845072,1
0.015849017,1
0.015849879,1
0.015853748,1
0.015854232,1
0.015859496,1
0.01586789,1
0.015870871,1
0.015872417,1
0.01587879,1
0.015883513,1
0.015886953,1
0.015887922,1
0.015895091,1
0.015901277,1
0.0159061,1
0.015906736,1
0.015909724,1
0.015910849,1
0.015911805,1
0.015915703,1
0.015920896,1
0.01592188,1
0.015923187,1
0.015926393,1
0.015929459,1
0.015930766,1
0.015933318,1
0.015936114,1
0.015942499,1
0.01594364,1
0.015945798,1
0.015950102,1
0.01595453,1
0.015956659,1
0.015957223,1
0.015957769,1
0.015959412,1
0.015967527,1
0.015969431,1
0.015978951,1
0.015979363,1
0.015979392,1
0.015980553,1
0.015981374,1
0.015990125,1
0.015994623,1
0.015995996,1
0.015998514,1
0.016004939,1
0.016017443,1
0.01601848,1
0.016019734,1
0.016020695,1
0.016021583,1
0.016022975,1
0.016024103,1
0.0160258,1
0.016026625,1
0.016026795,1
0.016033625,1
0.016038932,1
0.016045481,1
0.016051205,1
0.016056348,1
0.016057145,1
0.01605967,1
0.016064052,1
0.016064404,1
0.016065048,1
0.016066657,1
0.016075468,1
0.016078703,1
0.016080912,1
0.016084578,1
0.016089747,1
0.016100446,1
0.016106172,1
0.016107185,1
0.016114991,1
0.016119724,1
0.016126106,1
0.016126474,1
0.016134366,1
0.016138291,1
0.016143693,1
0.016145479,1
0.016152147,1
0.016153317,1
0.016153533,1
0.016154103,1
0.016154427,1
0.016160343,1
0.016163964,1
0.016168637,1
0.016169129,1
0.016172243,1
0.016172769,1
0.016173184,1
0.016173648,1
0.016176317,1
0.016178183,1
0.016188137,1
0.01618883,1
0.016189063,1
0.016191565,1
0.01619212,1
0.016193818,1
0.016197016,1
0.016199302,1
0.016200615,1
0.016204834,1
0.016206393,1
0.016208356,1
0.0162157,1
0.01621717,1
0.016223898,1
0.016226126,1
0.016226357,1
0.01622803,1
0.016231513,1
0.016235242,1
0.016238572,1
0.016240012,1
0.016246935,1
0.016247448,1
0.016256373,1
0.016258528,1
0.016260078,1
0.016267028,1
0.016270457,1
0.016274894,1
0.016277362,1
0.016279846,1
0.016285326,1
0.016287813,1
0.016295612,1
0.01629575,1
0.016296403,1
0.016298378,1
0.016301176,1
0.016310163,1
0.016314456,1
0.016316758,1
0.016322082,1
0.016326519,1
0.01633449,1
0.016335316,1
0.016337076,1
0.016337138,1
0.01633996,1
0.016340552,1
0.016340598,1
0.016342264,1
0.016345056,1
0.01634889,1
0.01634892,1
0.016351711,1
0.016355284,1
0.01636246,1
0.016362725,1
0.016363412,1
0.01636424,1
0.016368609,1
0.016371012,1
0.016375368,1
0.016377382,1
0.01638174,1
0.01638502,1
0.016386459,1
0.016388975,1
0.01639368,1
0.016401608,1
0.016401654,1
0.016404267,1
0.016407333,1
0.016408507,1
0.016408538,1
0.016412467,1
0.016414924,1
0.016417945,1
0.01642305,1
0.016425494,1
0.016430162,1
0.016430726,1
0.016446747,1
0.016448975,1
0.01646192,1
0.016465327,1
0.016472677,1
0.016480204,1
0.01648253,1
0.016484605,1
0.016484998,1
0.016487906,1
0.016491665,1
0.016497029,1
0.016507367,1
0.016509492,1
0.016509792,1
0.016514532,1
0.016516168,1
0.016523698,1
0.016527638,1
0.016528914,1
0.016537586,1
0.01653874,1
0.01655062,1
0.016551124,1
0.016552765,1
0.016552797,1
0.016553396,1
0.016559806,1
0.016561668,1
0.016563708,1
0.016574737,1
0.016586265,1
0.01658745,1
0.016589459,1
0.016594648,2
0.016595218,1
0.016595725,1
0.016597021,1
0.016605634,1
0.016606852,1
0.016609624,1
0.01660983,1
0.01661143,1
0.016612982,1
0.016618641,1
0.016620908,1
0.016622951,1
0.016624931,1
0.016634542,1
0.016638827,1
0.016647572,1
0.01665086,1
0.016652636,1
0.016654018,1
0.016654383,1
0.016658021,1
0.016662216,1
0.01666328,1
0.016665999,1
0.016672244,1
0.01667423,1
0.016674709,1
0.016679987,1
0.0166815,1
0.016685,1
0.016685795,1
0.016685955,1
0.016687624,1
0.016688215,1
0.016697288,1
0.016697416,1
0.016698163,1
0.016699184,1
0.016702002,1
0.016718654,1
0.016719053,1
0.016720137,1
0.016720552,1
0.016720695,1
0.016721396,1
0.016722003,1
0.016722783,1
0.016726976,1
0.01672902,1
0.016730998,1
0.016732752,1
0.016733265,1
0.01673513,1
0.01673965,1
0.016740192,1
0.016740287,1
0.016755268,1
0.016756162,1
0.016762923,1
0.016763082,1
0.016764617,1
0.01677162,1
0.01677282,1
0.016777093,1
0.016781172,1
0.016782932,1
0.016786663,1
0.016787557,1
0.016793307,1
0.016795501,1
0.016796142,1
0.016796926,1
0.016809458,1
0.016813962,1
0.016814586,1
0.01681704,1
0.016824322,1
0.016824482,1
0.016824596,1
0.016824739,1
0.016827948,1
0.016830789,1
0.016831592,1
0.016832955,1
0.016839234,1
0.016841128,1
0.016841756,1
0.016847618,1
0.016849788,1
0.016851539,1
0.016853595,1
0.01685509,1
0.016856104,1
0.016856248,1
0.016866073,1
0.016874807,1
0.016875403,1
0.016881583,1
0.016884886,1
0.016895773,1
0.016898962,1
0.01689943,1
0.016904105,1
0.016909441,1
0.016916085,1
0.016917972,1
0.016921103,1
0.01692154,1
0.01692454,1
0.016924605,1
0.016935164,1
0.016939169,1
0.016942594,1
0.016944695,1
0.01694791,1
0.016949058,1
0.016949495,1
0.016951581,1
0.01695179,1
0.016952824,1
0.0169612,1
0.016964389,1
0.016971199,1
0.016979277,1
0.016979504,1
0.016980637,1
0.016981253,1
0.016985415,1
0.0169877,1
0.016994245,1
0.016996318,1
0.016997956,1
0.0169994,1
0.017001085,1
0.017004408,1
0.017007846,1
